Date,Positive Total,Positive New,7-day confirmed case average,
7/10/21,663478,119,118.2857,
7/11/21,663610,132,132.4286,
7/12/21,663873,263,158.0000,
7/13/21,664143,270,177.7143,
7/14/21,664454,311,199.8571,
7/15/21,664778,324,223.5714,
7/16/21,665094,316,247.8571,
7/17/21,665327,233,264.1429,
7/18/21,665572,245,280.2857,
7/19/21,666090,518,316.7143,
7/20/21,666604,514,351.5714,
7/21/21,667195,591,391.5714,
7/22/21,667786,591,429.7143,
7/23/21,668294,508,457.1429,
7/24/21,668679,385,478.8571,
7/25/21,669086,407,502.0000,
7/26/21,669804,718,530.5714,
7/27/21,670568,764,566.2857,
7/28/21,671398,830,600.4286,
7/29/21,672306,908,645.7143,
7/30/21,673099,793,686.4286,
7/31/21,673731,632,721.7143,
8/1/21,674303,572,745.2857,
8/2/21,675537,1234,819.0000,
8/3/21,676683,1146,873.5714,
8/4/21,677823,1140,917.8571,
8/5/21,678919,1096,944.7143,
8/6/21,680057,1138,994.0000,
8/7/21,680734,677,1000.4286,
8/8/21,681386,652,1011.8571,
8/9/21,682808,1422,1038.7143,
8/10/21,684145,1337,1066.0000,
8/11/21,685479,1334,1093.7143,
8/12/21,686864,1385,1135.0000,
8/13/21,688055,1191,1142.5714,
8/14/21,688834,779,1157.1429,
8/15/21,689613,779,1175.2857,
8/16/21,691197,1584,1198.4286,
8/17/21,692777,1580,1233.1429,
8/18/21,694282,1505,1257.5714,
8/19/21,695742,1460,1268.2857,
8/20/21,697122,1380,1295.2857,
8/21/21,698048,926,1316.2857,
8/22/21,698713,665,1300.0000,
8/23/21,700375,1662,1311.1429,
8/24/21,702250,1875,1353.2857,
8/25/21,703976,1726,1384.8571,
8/26/21,705608,1632,1409.4286,
8/27/21,707125,1517,1429.0000,
8/28/21,708141,1016,1441.8571,
8/29/21,709010,869,1471.0000,
8/30/21,710934,1924,1508.4286,
8/31/21,712764,1830,1502.0000,
9/1/21,714421,1657,1492.1429,
9/2/21,716252,1831,1520.5714,
9/3/21,717955,1703,1547.1429,
9/4/21,718986,1031,1549.2857,
9/5/21,719916,930,1558.0000,
9/6/21,720824,908,1412.8571,
9/7/21,723411,2587,1521.0000,
9/8/21,725731,2320,1615.7143,
9/9/21,727904,2173,1664.5714,
9/10/21,729783,1879,1689.7143,
9/11/21,730777,994,1684.4286,
9/12/21,731788,1011,1696.0000,
9/13/21,734088,2300,1894.8571,
9/14/21,736046,1958,1805.0000,
9/15/21,737948,1902,1745.2857,
9/16/21,739817,1869,1701.8571,
9/17/21,741414,1597,1661.5714,
9/18/21,742384,970,1658.1429,
9/19/21,743253,869,1637.8571,
9/20/21,745375,2122,1612.4286,
9/21/21,747261,1886,1602.1429,
9/22/21,749005,1744,1579.5714,
9/23/21,750642,1637,1546.4286,
9/24/21,752228,1586,1544.8571,
9/25/21,753129,901,1535.0000,
9/26/21,753910,781,1522.4286,
9/27/21,755830,1920,1493.5714,
9/28/21,757347,1517,1440.8571,
9/29/21,758903,1556,1414.0000,
9/30/21,760447,1544,1400.7143,
10/1/21,761832,1385,1372.0000,
10/2/21,762607,775,1354.0000,
10/3/21,763401,794,1355.8571,
10/4/21,765135,1734,1329.2857,
10/5/21,766695,1560,1335.4286,
10/6/21,768171,1476,1324.0000,
10/7/21,769661,1490,1316.2857,
10/8/21,771127,1466,1327.8571,
10/9/21,771922,795,1330.7143,
10/10/21,772703,781,1328.8571,
10/11/21,773913,1210,1254.0000,
10/12/21,775612,1699,1273.8571,
10/13/21,777174,1562,1286.1429,
10/14/21,778688,1514,1289.5714,
10/15/21,780041,1353,1273.4286,
10/16/21,780880,839,1279.7143,
10/17/21,781631,751,1275.4286,
10/18/21,783187,1556,1324.8571,
10/19/21,784463,1276,1264.4286,
10/20/21,785729,1266,1222.1429,
10/21/21,786986,1257,1185.4286,
10/22/21,788246,1260,1172.1429,
10/23/21,789043,797,1166.1429,
10/24/21,789740,697,1158.4286,
10/25/21,791289,1549,1157.4286,
10/26/21,792455,1166,1141.7143,
10/27/21,793611,1156,1126.0000,
10/28/21,794997,1386,1144.4286,
10/29/21,796230,1233,1140.5714,
10/30/21,796993,763,1135.7143,
10/31/21,797790,797,1150.0000,
11/1/21,799374,1584,1155.0000,
11/2/21,801005,1631,1221.4286,
11/3/21,802700,1695,1298.4286,
11/4/21,804331,1631,1333.4286,
11/5/21,805948,1617,1388.2857,
11/6/21,806935,987,1420.2857,
11/7/21,807863,928,1439.0000,
11/8/21,810044,2181,1524.2857,
11/9/21,812090,2046,1583.5714,
11/10/21,814243,2153,1649.0000,
11/11/21,816228,1985,1699.5714,
11/12/21,818237,2009,1755.5714,
11/13/21,819623,1386,1812.5714,
11/14/21,820990,1367,1875.2857,
11/15/21,824108,3118,2009.1429,
11/16/21,826919,2811,2118.4286,
11/17/21,829601,2682,2194.0000,
11/18/21,832432,2831,2314.8571,
